gene,cond,archetype,test_sig
L3mbtl4,P6,A,C ALL
Glis3,P8 P17,A,A
Fnbp1l,P14 P17DR P17 P21DR P21,A,C
Epha6,P6 P8 P10 P12DR P12 P14DR P14 P17DR P17 P21DR P21,A,B
Eda,P12 P14DR P14 P17DR P17 P21DR P21,A,A
March4,P6 P12 P14DR P17DR P21,A,B
Ptprg,P6 P8 P10 P12DR P12 P14DR P14 P17DR P17 P21DR P21,A,C
Col23a1,P17DR P17 P21DR P21,A,A
Sgcd,P12 P14DR P14 P17DR P17 P21DR P21,A,C
Cpne8,P6 P10 P12DR P12 P14DR P14 P17 P21DR P21,A,B
Cdh4,P6 P8 P10 P12DR P12 P14DR P14 P17DR P17 P21DR,A,C ALL
Slit3,P6 P12 P14DR P14 P17DR P21DR,A,C
Sparcl1,P8,A,C
Syt10,P10 P12DR P12 P14DR P14 P17DR P17 P21DR,A,B
Thsd7a,P6 P8 P10 P12DR P12 P14DR P14 P17DR P17 P21DR P21,A,ALL
Xylt1,P6 P8 P10 P12DR P12 P14DR P14 P17DR P17 P21DR P21,A,C
Hdac9,P17 P6 P8 P10 P12DR,AB,B
Megf11,P17 P21,B,ALL
Mir670hg,P14 P17DR P17 P21DR P21,B,ALL
Mthfd1l,P17DR P17 P21DR P21,B,C
Maml3,P10 P12DR P12 P14DR P14 P17DR P17 P21DR P21,B,ALL
Mapk4,P12 P14,B,B C ALL
Npas4,P17 P21,B,ALL
1700016P03Rik,P12 P14 P17 P21DR P21,B,A C ALL
Nrp1,P6 P17 P21DR P21,B,A
Phf21b,P21,B,C ALL
Zbtb16,P17 P21,B,C
Ppm1h,P17DR P17 P21DR P21,B,C
Ppme1,P17,B,A
Shc3,P10,B,A
Tnfaip6,P21,B,ALL
Nptx2,P17DR P17 P21DR P21,B,B
Plcl1,P14DR P14 P17DR P17 P21DR P21,B,C
Zfp536,P17DR P21DR,B,B
Dusp14,P21,B,C ALL
Cdh18,P10 P12DR P12 P14 P17DR P21DR P21,B,B
C1ql3,P17,B,A
Homer1,P21,B,A C ALL
Ifrd1,P17 P21,B,A
Gm15398,P6 P17DR P17 P21DR P21,B,C
Bdnf,P12 P14DR P14 P17DR P17 P21DR P21,B,C ALL
Baz1a,P17 P21,B,B C ALL
Btg2,P21,B,B ALL
Tmtc2,P12 P14 P17DR P21,BC,B
Ctnna3,P6 P8 P17,BC,C
Rora,P8 P10 P12DR P12 P14 P17DR P17 P21DR P21,C,B
Sntb2,P21,C,B
Cdh20,P10 P12DR P12 P14DR P14 P17DR P17 P21DR P21,C,A
Cdh7,P6 P8 P10 P12DR P12 P14DR P14 P17DR P21DR,C,A C
Cntnap4,P14DR P14 P17DR P21DR,C,C
Rph3a,P21,C,B
Rorb,P6 P8 P10 P12DR P12 P14DR P14 P17DR P17 P21DR P21,C,C ALL
Kcnh5,P6 P8 P10 P12DR P12 P14DR P14 P17DR P17 P21DR P21,C,ALL
Kctd8,P17DR P21DR P21,C,C ALL
Elavl2,P10 P12DR P12 P14DR P14 P17DR P17 P21DR P21,C,B
Ell2,P17DR P17 P21DR P21,C,A
Epha10,P14DR P17DR P17 P21DR P21,C,C
Pcdh10,P6 P8 P10 P12DR P12 P14DR P14 P17DR P17 P21DR,C,C
Parm1,P10 P12DR P14DR P21DR,C,C ALL
Ntng1,P14DR P14 P17DR P17 P21DR P21,C,B
Gm15155,P6 P8 P17 P21DR,C,B C ALL
Gm28175,P6 P8 P10 P12DR P12 P14DR P14 P17DR P21DR P21,C,C
Mgll,P17DR,C,ALL
Igfbp5,P6 P8 P10 P12DR,C,A C
Igsf9b,P21,C,C ALL
Inhba,P8,C,B
Pth2r,P10 P12DR P14DR P14,C,C
Lcorl,P10 P12DR P12 P14DR P14 P17DR P17 P21DR P21,C,C
